File Path, Class ID, Shape ID, Color ID, Symbol ID
datasets/train2/dataset_150/images/34/images/00034_00002_00013.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00001_00017.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00006_00016.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00001_00010.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00004_00017.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00013_00007.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00005_00018.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00002_00021.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00000_00019.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00003_00014.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00012_00027.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00008_00004.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00008_00007.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00001_00028.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00001_00008.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00007_00021.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00012_00005.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00012_00018.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00007_00009.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00010_00007.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00008_00026.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00009_00023.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00006_00018.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00000_00002.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00011_00010.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00006_00019.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00002_00023.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00004_00010.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00004_00024.png,34,1,1,12
datasets/train2/dataset_150/images/34/images/00034_00006_00008.png,34,1,1,12
