File Path, Class ID, Shape ID, Color ID, Symbol ID
datasets/LoveHate/ImagesLH/1 2.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/1 3.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/1 4.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/1 5.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/1.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/2 2.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/2 3.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/2.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/3 2.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/3.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/4 2.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/4.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/5.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/6.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/7.png, 14, 3, 0, 1
datasets/LoveHate/ImagesLH/8.png, 14, 3, 0, 1
